data;ruota;numero1;numero2;numero3;numero4;numero5
19390107;BA;58;22;47;49;69
19390107;FI;27;57;81;43;61
19390107;MI;40;38;57;67;7
19390107;NA;85;44;48;88;55
19390107;PA;73;80;39;38;57
19390107;RM;73;24;4;39;22
19390107;TO;19;43;10;31;27
19390107;VE;9;43;61;14;75
19390114;BA;18;77;33;62;19
19390114;FI;31;47;12;7;80
19390114;MI;35;24;52;90;41
19390114;NA;4;10;36;63;35
19390114;PA;10;77;43;37;35
19390114;RM;4;86;61;84;58
19390114;TO;82;7;15;88;34
19390114;VE;85;21;45;65;56
19390121;BA;68;65;41;28;67
19390121;FI;37;82;69;9;67
19390121;MI;37;23;12;19;27
19390121;NA;15;76;82;11;55
19390121;PA;29;8;44;69;28
19390121;RM;36;74;7;70;76
19390121;TO;36;41;43;35;40
19390121;VE;76;85;50;42;22
19390128;BA;76;55;48;85;71
19390128;FI;24;40;12;77;30
19390128;MI;47;85;18;38;50
19390128;NA;73;34;8;39;17
19390128;PA;52;25;63;84;60
19390128;RM;56;87;82;90;53
19390128;TO;27;48;40;33;67
19390128;VE;58;84;13;51;32
19390204;BA;70;2;20;85;75
19390204;FI;14;51;22;85;25
19390204;MI;14;37;84;43;15
19390204;NA;32;86;79;58;4
19390204;PA;2;40;56;18;47
19390204;RM;53;35;10;18;86
19390204;TO;89;1;79;52;9
19390204;VE;37;33;13;51;49
19390211;BA;82;81;16;52;77
19390211;FI;18;6;46;62;78
19390211;MI;26;74;47;90;79
19390211;NA;4;85;36;83;84
19390211;PA;19;36;57;47;58
19390211;RM;33;11;81;9;72
19390211;TO;36;29;68;17;81
19390211;VE;79;51;21;46;62
19390218;BA;51;65;6;29;81
19390218;FI;88;5;38;20;35
19390218;MI;33;52;46;5;24
19390218;NA;26;56;68;65;39
19390218;PA;21;3;44;6;7
19390218;RM;2;60;6;58;1
19390218;TO;47;13;55;15;25
19390218;VE;68;41;25;66;61
19390225;BA;3;54;79;45;59
19390225;FI;51;5;75;59;35
19390225;MI;78;57;60;53;6
19390225;NA;88;17;22;49;48
19390225;PA;8;5;81;46;48
19390225;RM;79;24;3;39;10
19390225;TO;42;86;62;25;57
19390225;VE;22;86;2;37;44
19390304;BA;28;23;35;62;88
19390304;FI;1;6;20;24;42
19390304;MI;24;69;72;59;35
19390304;NA;59;86;40;43;46
19390304;PA;9;66;7;63;29
19390304;RM;2;73;72;89;20
19390304;TO;34;66;55;22;82
19390304;VE;85;61;32;35;76
19390311;BA;35;14;76;53;84
19390311;FI;81;44;57;56;30
19390311;MI;68;29;18;9;40
19390311;NA;25;26;6;11;2
19390311;PA;29;85;74;90;49
19390311;RM;86;78;26;28;24
19390311;TO;26;10;71;7;75
19390311;VE;15;26;28;38;76
19390318;BA;27;59;7;13;48
19390318;FI;1;22;64;25;53
19390318;MI;52;13;72;37;11
19390318;NA;12;63;77;64;50
19390318;PA;38;5;37;90;9
19390318;RM;69;47;54;88;1
19390318;TO;27;12;58;33;21
19390318;VE;69;3;28;48;8
19390325;BA;88;1;19;11;36
19390325;FI;75;89;61;41;22
19390325;MI;22;30;46;75;6
19390325;NA;33;79;74;6;22
19390325;PA;5;13;29;41;67
19390325;RM;43;47;70;15;58
19390325;TO;2;31;34;61;55
19390325;VE;21;10;71;76;4
19390401;BA;5;69;14;86;37
19390401;FI;19;31;25;9;54
19390401;MI;53;63;57;82;48
19390401;NA;26;41;69;72;6
19390401;PA;71;89;30;55;9
19390401;RM;28;30;2;35;54
19390401;TO;5;11;55;31;40
19390401;VE;77;76;81;51;27
19390408;BA;37;82;31;78;84
19390408;FI;64;75;87;35;25
19390408;MI;21;72;79;66;54
19390408;NA;25;17;59;77;62
19390408;PA;40;44;6;12;27
19390408;RM;14;37;44;24;82
19390408;TO;21;52;19;47;35
19390408;VE;42;65;88;73;23
19390415;BA;39;20;32;50;72
19390415;FI;30;21;74;84;89
19390415;MI;9;17;59;30;67
19390415;NA;31;47;78;51;39
19390415;PA;49;67;90;80;81
19390415;RM;38;66;24;33;69
