data;concorso;numero1;numero2;numero3;numero4;numero5;numero6;jolly;superstar
19971203;1;20;36;39;41;72;76;88;
19971206;2;2;4;25;29;30;52;24;
19971210;3;1;2;14;23;78;88;40;
19971213;4;5;22;34;61;62;77;58;
19971217;5;10;65;77;80;81;86;89;
19971220;6;3;27;48;58;78;90;45;
19971224;7;13;59;63;75;85;87;52;
19971227;8;8;26;35;43;55;67;69;
19971231;9;34;36;71;76;86;89;82;
19980103;1;2;29;36;72;82;90;71;
19980107;2;20;23;24;29;66;73;30;
19980110;3;24;33;37;40;60;86;32;
19980114;4;16;37;49;52;53;82;57;
19980117;5;29;37;49;51;55;74;86;
19980121;6;22;25;26;49;59;85;62;
19980124;7;3;4;39;43;56;81;82;
19980128;8;2;3;49;51;63;79;43;
19980131;9;6;13;26;33;34;78;65;
19980204;10;18;23;24;35;48;82;38;
19980207;11;8;9;23;34;64;89;1;
19980211;12;2;15;63;65;68;78;71;
19980214;13;37;40;46;51;58;66;84;
19980218;14;10;12;29;41;45;50;52;
19980221;15;4;19;47;60;73;84;58;
19980225;16;1;27;40;81;82;85;6;
19980228;17;13;68;75;79;87;88;90;
19980304;18;28;36;59;79;84;88;7;
19980307;19;2;12;57;62;64;71;56;
19980311;20;3;23;25;44;74;89;76;
19980314;21;16;33;42;86;88;89;43;
19980318;22;1;5;17;38;61;71;70;
19980321;23;17;30;38;51;77;80;33;
19980325;24;5;6;17;55;62;73;38;
19980328;25;16;40;50;58;62;63;5;
19980401;26;17;31;42;43;55;72;64;
19980404;27;1;7;21;49;84;87;77;
19980408;28;4;7;22;27;39;88;14;
19980411;29;23;58;64;67;79;81;14;
19980415;30;4;5;46;47;73;82;62;
19980418;31;17;38;47;56;76;85;26;
19980422;32;5;22;40;46;86;87;13;
19980427;33;18;36;62;63;76;80;64;
19980429;34;15;23;27;29;50;69;54;
19980502;35;6;12;23;28;77;79;73;
19980506;36;5;28;33;64;81;84;67;
19980509;37;5;19;43;44;73;77;39;
19980513;38;6;15;41;57;81;83;74;
19980516;39;7;19;25;68;71;85;46;
19980520;40;5;13;22;25;43;50;45;
19980523;41;7;12;24;37;58;81;10;
19980527;42;36;48;56;65;71;73;38;
19980530;43;4;11;29;34;86;88;59;
19980603;44;48;50;80;81;84;87;42;
19980606;45;13;18;22;56;67;72;65;
19980610;46;5;14;17;38;64;68;83;
19980613;47;13;26;30;34;83;86;64;
19980617;48;10;16;35;39;64;65;70;
19980620;49;20;24;39;63;65;70;36;
19980624;50;19;43;59;60;67;79;10;
19980627;51;2;16;38;40;44;57;28;
19980701;52;25;33;37;47;48;79;29;
19980704;53;29;42;49;52;53;67;55;
19980708;54;5;20;24;48;78;80;6;
19980711;55;15;16;17;57;60;63;28;
19980715;56;12;32;48;68;70;85;7;
19980718;57;1;36;42;71;72;88;90;
19980722;58;56;71;75;78;81;85;8;
19980725;59;25;37;54;63;70;76;7;
19980729;60;25;60;62;68;83;89;88;
19980801;61;5;14;37;38;50;72;90;
19980805;62;7;24;40;56;79;85;90;
19980808;63;12;27;31;32;57;83;42;
19980812;64;31;33;61;77;86;88;16;
19980817;65;4;47;53;55;71;73;80;
19980819;66;6;15;16;50;62;82;4;
19980822;67;10;36;48;63;83;90;32;
19980826;68;10;40;66;72;76;80;61;
19980829;69;12;19;22;53;72;88;34;
19980902;70;1;43;45;48;83;90;14;
19980905;71;15;16;20;23;24;87;77;
19980909;72;10;25;56;68;71;77;3;
19980912;73;14;37;48;55;84;87;23;
19980916;74;22;26;29;37;75;76;36;
19980919;75;3;33;45;57;78;80;65;
19980923;76;7;9;31;41;67;68;22;
19980926;77;28;31;40;67;74;90;61;
19980930;78;20;34;44;61;74;87;25;
19981003;79;2;9;13;34;46;63;85;
19981007;80;6;13;17;49;51;83;76;
19981010;81;42;43;46;49;52;76;48;
19981014;82;15;28;42;55;76;88;74;
19981017;83;10;13;50;59;64;78;23;
19981021;84;14;39;50;56;72;89;29;
19981024;85;4;26;27;74;77;84;20;
19981028;86;37;60;64;73;80;84;2;
19981031;87;1;21;30;61;73;84;74;
19981104;88;6;54;72;75;81;87;55;
19981107;89;15;19;25;33;40;68;81;
19981111;90;19;38;60;80;81;90;10;
19981114;91;6;31;69;70;76;85;44;
19981118;92;12;18;43;47;50;83;53;
19981121;93;32;36;43;56;66;89;8;
19981125;94;32;39;52;56;69;85;53;
19981128;95;12;15;40;50;66;88;70;
19981202;96;9;23;36;66;67;77;87;
19981205;97;27;35;47;48;59;79;77;
19981209;98;1;11;42;43;61;81;29;
19981212;99;9;37;39;40;42;86;2;
19981216;100;22;43;56;71;77;83;35;
19981219;101;3;6;13;28;49;50;33;
19981223;102;3;9;14;26;47;79;81;
19981228;103;14;43;46;65;71;82;22;
19981230;104;30;36;45;49;63;89;46;
19990102;1;10;12;54;58;72;88;23;
19990107;2;34;43;44;45;53;58;64;
19990109;3;1;6;13;23;53;77;20;
19990113;4;18;23;45;51;61;86;29;
19990116;5;7;9;12;37;86;90;87;
19990120;6;1;43;45;48;51;56;18;
19990123;7;36;45;46;47;74;75;69;
19990127;8;8;48;65;72;83;88;67;
19990130;9;14;20;40;58;68;84;88;
19990203;10;45;67;70;80;81;89;3;
19990206;11;9;10;26;30;44;54;62;
19990210;12;4;8;12;17;19;80;84;
19990213;13;12;20;23;34;67;87;46;
19990217;14;24;45;49;63;78;83;4;
19990220;15;4;26;59;63;69;74;86;
19990224;16;17;19;32;41;52;87;23;
19990227;17;6;7;42;55;75;88;67;
19990303;18;40;41;51;62;66;80;77;
19990306;19;27;41;44;50;68;73;21;
19990310;20;11;20;56;69;72;76;32;
19990313;21;6;18;20;34;72;90;17;
19990317;22;3;7;14;45;68;70;39;
19990320;23;43;71;80;84;88;89;73;
19990324;24;4;26;34;61;76;81;67;
19990327;25;7;18;27;80;81;83;87;
19990331;26;25;60;64;71;75;85;18;
19990403;27;33;41;47;48;60;80;17;
19990407;28;13;27;40;46;70;84;28;
19990410;29;4;11;14;17;25;32;61;
19990414;30;34;63;70;77;83;90;43;
19990417;31;4;6;25;32;73;83;64;
19990421;32;20;53;55;61;64;74;46;
19990424;33;20;22;33;44;50;74;60;
19990428;34;1;51;53;55;73;86;41;
19990503;35;8;49;50;65;66;69;75;
19990505;36;3;10;28;71;81;88;84;
19990508;37;11;14;15;30;68;81;82;
19990512;38;3;7;10;37;57;86;49;
19990515;39;7;33;54;72;73;90;24;
19990519;40;10;23;35;64;74;90;52;
19990522;41;3;28;38;43;73;75;1;
19990526;42;3;4;13;16;59;70;22;
19990529;43;10;34;44;49;62;79;47;
19990602;44;2;16;17;65;69;72;60;
19990605;45;9;36;52;76;77;90;47;
19990609;46;16;32;35;45;72;77;6;
19990612;47;32;35;57;74;79;84;70;
19990616;48;5;20;29;41;56;86;81;
19990619;49;13;23;31;58;67;68;22;
19990623;50;31;36;37;71;86;90;13;
19990626;51;8;19;23;37;65;77;48;
19990630;52;13;22;44;74;77;87;76;
19990703;53;3;6;7;53;65;90;14;
19990707;54;38;46;63;82;83;87;1;
19990710;55;1;4;42;67;75;77;31;
19990714;56;4;48;60;63;84;88;62;
19990717;57;5;22;35;38;74;82;36;
19990721;58;11;19;26;58;67;89;1;
19990724;59;13;16;23;52;67;78;76;
19990728;60;13;64;68;84;89;90;85;
19990731;61;5;34;44;73;77;83;65;
19990804;62;12;23;46;54;78;90;85;
19990807;63;4;16;29;58;69;88;54;
19990811;64;10;19;24;29;42;67;39;
19990814;65;45;64;73;80;81;85;11;
19990818;66;13;16;51;56;65;67;35;
19990821;67;1;32;37;63;67;69;90;
19990825;68;1;25;28;39;51;89;62;
19990828;69;7;12;14;16;24;45;54;
19990901;70;5;19;26;32;67;87;65;
19990904;71;38;40;41;69;76;81;78;
19990908;72;15;38;48;74;75;80;81;
